Country,Year,Forest_Loss_Area_km2,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Deforestation_Policy_Strictness,Corruption_Index,Illegal_Lumbering_Incidents,Tree_Cover_Loss_percent
Canada,2010,1670.5998316606613,539.0028122791684,462.71900264237115,971130709.9763008,1070.7932752961447,Medium,56.29723536143245,365,5.808110223214906
Brazil,2015,1289.6300132758577,752.4116419752721,452.86165078700003,638338862.4843899,10698.790136075166,Medium,39.08669321708717,150,15.842238051951465
Australia,2015,3484.6087004923756,914.0340947350664,373.24828725596456,207091554.5767423,19246.22725458179,high,71.98632005165872,293,16.67751172264537
Indonesia,2000,1008.8107515530746,589.2980370022173,,1351852728.8422146,2278.430315083632,Medium,79.6002162415177,61,10.413589965758653
Canada,2008,1032.154183858745,728.8596356311295,,1039920567.838385,17900.15062626454,low,65.14566575693435,288,8.340629287117995
Japan,2005,3182.9917629738125,759.5103900220313,382.33866484098866,1027943946.1037673,19830.35916938646,low,25.428901717223045,98,9.552364215975434
India,2015,9797.154233352934,384.07204378302856,363.4035873165735,1235649975.1083941,1324.1888221607776,high,37.32113573183828,91,5.3123291929419185
Canada,2002,1835.7696719044513,248.67398400633553,409.61027974019214,799195901.1960708,17669.83475583548,high,26.546577905944986,215,17.89842740644804
Australia,2019,269.89490813432735,212.99487522145967,357.2435090289348,1224431098.3196611,10369.972506827971,Medium,59.03069886750295,131,9.5617734778654
Indonesia,2003,7657.307787738719,258.92801511668046,320.0665109415654,752155222.7313986,18139.623016947142,high,65.91145187334709,478,17.766729368665896
Brazil,2018,8088.438472802717,281.9844790556497,375.17969116363247,110091345.87440804,11469.246944199525,high,75.54048985284271,340,3.0081761182192075
Australia,2002,3528.412778785068,215.1553725179759,392.0437876170734,613819651.1612562,13276.029001120636,low,46.29034078471926,207,19.777230149002495
Australia,2018,4700.2707481021525,879.4384608044003,412.2510649223322,751222692.0300369,10921.200269148245,low,74.08253897530665,265,9.422188661428747
India,2019,6532.7594581633575,759.4291408505064,384.5027458187749,1083101846.6321206,17303.408318116235,Medium,72.67346954247965,207,1.908785587488004
Russia,2006,575.7833495506338,56.42750311330772,428.9275096363208,168802307.8917248,14704.807387178664,high,39.031743005923914,183,1.7224151165116433
Indonesia,2019,9496.54274275472,275.98575720505426,421.7035779596996,218627622.604069,10473.080212390256,high,72.13403753243426,116,15.177937892154933
China,2008,8878.13583425067,31.962894609998614,393.6285040623652,402888865.9255785,17376.400000625785,low,42.54033511290359,385,13.521675149869935
Australia,2000,2682.846871082968,503.183534779434,486.6761775218366,407082606.1226145,4981.182091881158,high,37.812156473616845,56,16.240480604424164
Russia,2007,251.51494887480902,481.448589821124,454.19492181504074,1100955021.904003,3231.079128080267,low,58.94447952766358,485,3.0019831451033134
China,2006,9341.019449986881,833.0577751618762,391.4301378773182,383588684.23678064,3291.9620960684347,Medium,39.70287367310486,63,1.6758464736754186
Indonesia,2017,5060.294850761066,314.6994673733389,413.6943713727115,953316114.4025968,6746.776687030234,low,57.81252489974865,122,10.663006499503991
USA,2007,5439.836739160619,818.2218778609317,433.43684281750313,746468036.7060244,4849.931622890249,high,56.58990832992167,448,8.36430939817262
Japan,2000,6871.241317041597,968.2940277854249,353.8901726381397,864208623.487307,18608.7979751438,Medium,53.80633564090753,454,9.77699179674816
Russia,2010,6196.926527460147,,361.2564785193323,1258779375.1356606,2206.0984671888214,low,42.82518225396786,212,19.840179768535204
Mexico,2017,9444.526885151496,793.8996610749366,466.65384800132335,612528437.3080462,14009.915686987795,low,52.90998329908861,115,19.444249195742735
USA,2009,9448.090811539158,594.0563381662597,324.27417692531236,1158657951.825763,3865.508641721617,Medium,55.7891284991253,396,18.903992403790664
Japan,2002,8685.269442194538,485.2455073482904,400.9152747192069,638833728.7305242,17644.578942129967,Medium,52.74121330972841,179,15.893010858585804
India,2006,6400.395614715511,426.3304208784243,351.7078177721909,537268351.0762618,19230.174234879658,low,46.66516716507209,468,7.741985844880918
Canada,2015,8029.3980173557575,786.8215813048664,385.3698301485223,1438354494.1966987,9362.853174522674,high,20.880023422775828,255,8.83048767499266
